### 直接加载测试（角色专属材质）
    合计: 可加载=82  加载失败=0

===== 张知远_可动
    tied.01.downbun | tied.01.downbun | hair_mat_hair_tied - bun | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Glasses | F_glasses.002_round | mat_glasses.001_round | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Glasses | F_glasses.002_round | mat_glasses.001_round | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_hands | F_body_hands | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_legs_knee | F_body_legs_knee | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_legs_lower | F_body_legs_lower | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_shoulders | F_body_shoulders | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_torso | F_body_torso | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_torso.001 | F_body_torso.001 | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.004_mesh | F_head.004_mesh | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.004_mesh | F_head.004_mesh | skin_mat_base_F_face | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.004_mesh | F_head.004_mesh | brow_mat_eyelashes | shader=Universal Render Pipeline/Unlit | supported=True
    Head_F_head.004_mesh | F_head.004_mesh | mat_base_eye.001 | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.004_mesh | F_head.004_mesh | mat_eye_highlight | shader=Universal Render Pipeline/Lit | supported=True
    Head_F_head.004_mesh | F_head.004_mesh | mat_base_mouth | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.004_mesh | F_head.004_mesh | brow_mat_eyebrows | shader=Universal Render Pipeline/Lit | supported=True
